Daily Buy Signal Backtest
Ticker,Samples,3d Win Rate,3d Avg Return,3d Max Gain,3d Max Drawdown,3d Avg Peak Day,3d Valid Samples,5d Win Rate,5d Avg Return,5d Max Gain,5d Max Drawdown,5d Avg Peak Day,5d Valid Samples,8d Win Rate,8d Avg Return,8d Max Gain,8d Max Drawdown,8d Avg Peak Day,8d Valid Samples
SWKS,8,62.5%,1.55%,10.33%,-9.35%,1.9d,8,25.0%,-0.58%,11.90%,-9.35%,2.4d,8,50.0%,1.21%,13.00%,-9.35%,4.0d,8
KMB,12,50.0%,-0.06%,4.64%,-3.33%,1.1d,12,58.3%,-0.17%,4.64%,-3.77%,2.5d,12,66.7%,0.38%,5.21%,-5.52%,4.6d,12
MPWR,2,50.0%,-1.58%,6.61%,-10.89%,1.0d,2,0.0%,-4.60%,6.61%,-11.48%,1.0d,2,100.0%,3.09%,6.61%,-11.48%,5.0d,2
PTC,6,33.3%,-1.45%,4.96%,-8.25%,1.3d,6,16.7%,-2.67%,5.72%,-9.92%,1.5d,6,50.0%,-0.64%,5.72%,-11.27%,3.5d,6
ISRG,10,30.0%,-0.66%,7.40%,-7.27%,1.6d,10,30.0%,-1.29%,7.73%,-7.27%,2.2d,10,60.0%,0.54%,10.72%,-9.03%,4.3d,10
ETN,4,25.0%,-2.47%,4.41%,-10.84%,1.0d,4,50.0%,-1.75%,10.22%,-10.84%,2.8d,4,50.0%,-1.37%,10.22%,-13.75%,5.0d,4
DXCM,5,20.0%,0.46%,13.05%,-11.34%,1.0d,5,40.0%,-0.11%,13.70%,-12.26%,2.4d,5,40.0%,0.98%,20.17%,-12.26%,3.8d,5
NCLH,5,0.0%,-4.48%,5.96%,-9.14%,1.0d,5,40.0%,-1.54%,10.24%,-9.14%,1.4d,5,60.0%,1.62%,10.24%,-9.14%,4.6d,5

4H Buy Signal Backtest
Ticker,Samples,3d Win Rate,3d Avg Return,3d Max Gain,3d Max Drawdown,3d Avg Peak Day,3d Valid Samples,5d Win Rate,5d Avg Return,5d Max Gain,5d Max Drawdown,5d Avg Peak Day,5d Valid Samples,8d Win Rate,8d Avg Return,8d Max Gain,8d Max Drawdown,8d Avg Peak Day,8d Valid Samples
ETN,10,70.0%,-0.12%,5.53%,-14.35%,2.1d,10,70.0%,1.17%,5.88%,-14.35%,3.5d,10,60.0%,0.25%,7.84%,-14.35%,5.3d,10
SWKS,16,50.0%,-0.15%,10.33%,-21.70%,1.6d,16,56.2%,0.58%,11.90%,-24.64%,2.6d,16,43.8%,0.29%,13.00%,-24.64%,3.8d,16
KMB,25,48.0%,-0.60%,4.64%,-16.73%,1.8d,25,56.0%,-1.23%,4.64%,-17.09%,2.9d,25,48.0%,-1.34%,4.64%,-17.41%,4.0d,25
MPWR,9,44.4%,1.27%,12.81%,-7.02%,1.4d,9,44.4%,0.80%,14.31%,-7.74%,2.6d,9,22.2%,-0.25%,20.59%,-17.79%,3.3d,9
DXCM,19,42.1%,0.62%,17.60%,-11.36%,1.5d,19,63.2%,2.61%,20.60%,-12.67%,3.1d,19,73.7%,1.69%,20.60%,-15.29%,4.5d,19
NCLH,15,40.0%,-0.92%,22.44%,-19.14%,1.1d,15,40.0%,0.41%,22.44%,-19.14%,2.3d,15,66.7%,2.35%,25.11%,-19.14%,4.8d,15
PTC,8,37.5%,-1.36%,4.44%,-13.30%,1.0d,8,37.5%,-0.75%,4.84%,-13.80%,2.1d,8,37.5%,-0.17%,5.39%,-13.80%,4.0d,8
ISRG,17,35.3%,-0.09%,17.60%,-8.31%,1.4d,17,29.4%,-0.01%,17.60%,-8.31%,2.1d,17,41.2%,0.53%,17.60%,-9.03%,3.6d,17
