Ticker,Date,Daily,4H,3H,2H,1H,30min
ACGL,2026-04-01,,,,,,Sell
ADI,2026-04-01,,,,,Sell,
ADM,2026-04-01,,Sell,Sell,,,
ADP,2026-04-01,,,,,Buy,Buy
ADSK,2026-04-01,,,,,,Sell
AEE,2026-04-01,,,,,,Sell
AJG,2026-04-01,,,,Sell,Sell,Sell
AMT,2026-04-01,,,,,,Sell
AON,2026-04-01,,,,,,Sell
APD,2026-04-01,Sell,,,,,
ATO,2026-04-01,,,,,Sell,Sell
AVY,2026-04-01,,,,,Sell,
BBWI,2026-04-01,,,,,,Sell
BIIB,2026-04-01,,,Buy,Buy,,
BKR,2026-04-01,,,,,,Buy
BR,2026-04-01,,,,,Buy,Buy
BRO,2026-04-01,,,,,,Sell
BX,2026-04-01,,,,,Sell,
CBOE,2026-04-01,,,,,,Sell
CCI,2026-04-01,,,,,,Sell
CE,2026-04-01,,Sell,Sell,,,
CHD,2026-04-01,,,,Buy,Buy,
CME,2026-04-01,,,,,Buy,
CMS,2026-04-01,,,,,Sell,Sell
CNP,2026-04-01,,,,,Sell,Sell
CSGP,2026-04-01,,,,,Buy,Buy
CTSH,2026-04-01,,,,,,Sell
CTVA,2026-04-01,,,Sell,,,
DAL,2026-04-01,,,,,Sell,
DD,2026-04-01,,,,,Sell,Sell
DVA,2026-04-01,,,,,,Buy
DXCM,2026-04-01,,Buy,,,,
ECL,2026-04-01,,,,,,Sell
ED,2026-04-01,,,,,Sell,Sell
EFX,2026-04-01,,,,,,Sell
ETN,2026-04-01,Buy,,,,,
ETR,2026-04-01,,,,,,Sell
EVRG,2026-04-01,,,,,,Sell
FE,2026-04-01,,,,,,Sell
FICO,2026-04-01,,,,,,Sell
FISV,2026-04-01,,,,,,Sell
FITB,2026-04-01,,,,,Sell,
GD,2026-04-01,,,Buy,,,
GIS,2026-04-01,,,,,,Sell
GPC,2026-04-01,,,,,,Sell
GPN,2026-04-01,,,Buy,,,
HAL,2026-04-01,Sell,,,,,
HPQ,2026-04-01,,,,,,Buy
IFF,2026-04-01,,,,,Sell,Sell
ISRG,2026-04-01,Buy,,,,,
KMB,2026-04-01,Buy,Buy,Buy,,,
LEN,2026-04-01,,,Buy,,,
LNT,2026-04-01,,,,,Sell,Sell
LOW,2026-04-01,,,,,Sell,
LW,2026-04-01,,,,Sell,Sell,Sell
MCD,2026-04-01,,,,,,Buy
MDT,2026-04-01,,,Buy,Buy,,
MPWR,2026-04-01,Buy,,,,,
MRK,2026-04-01,,,,,Sell,Sell
MS,2026-04-01,,,,,Sell,Sell
MTD,2026-04-01,,,,,Sell,Sell
NCLH,2026-04-01,Buy,,,,,
NEE,2026-04-01,,,,,,Sell
NI,2026-04-01,,,,,,Sell
ORLY,2026-04-01,,,,,Sell,Sell
PKG,2026-04-01,,,,,Sell,Sell
PODD,2026-04-01,,,,,,Buy
PPG,2026-04-01,,,,Sell,Sell,Sell
PPL,2026-04-01,,,,,,Sell
PTC,2026-04-01,Buy,,,,,
SEE,2026-04-01,,,,,,Sell
SHW,2026-04-01,,,,,,Sell
SLB,2026-04-01,Sell,,,,,
SPGI,2026-04-01,,,,,,Sell
SRE,2026-04-01,,,Sell,Sell,,
STT,2026-04-01,,,,,Sell,Sell
SWKS,2026-04-01,,Buy,,,,
SYF,2026-04-01,,,,,Sell,
T,2026-04-01,Sell,,,,,
TFX,2026-04-01,,,,,Sell,Sell
TGT,2026-04-01,,,,,Sell,Sell
TMO,2026-04-01,,,,,Sell,Sell
TRGP,2026-04-01,,Sell,,,,
TROW,2026-04-01,,,,Sell,Sell,Sell
TSN,2026-04-01,,,,,,Sell
VICI,2026-04-01,,,,,,Sell
WAT,2026-04-01,,,,,Sell,
WEC,2026-04-01,,,,,Sell,Sell
WFC,2026-04-01,,,,,Sell,
WM,2026-04-01,,,,,Sell,
XEL,2026-04-01,,,,,,Sell
XOM,2026-04-01,Sell,,,,,
AAPL,2026-03-31,Buy,,Buy,Buy,Buy,
ABT,2026-03-31,,Buy,Buy,Buy,Buy,Buy
ADI,2026-03-31,,Buy,Buy,Buy,,
ADM,2026-03-31,,,Sell,,,
AFL,2026-03-31,,,,,Sell,Sell
ALB,2026-03-31,,,,,,Sell
ALLE,2026-03-31,,,Buy,,,
AMAT,2026-03-31,,Buy,,Buy,,
AMCR,2026-03-31,,,Buy,Buy,Buy,
AME,2026-03-31,,,Buy,Buy,Buy,
AMGN,2026-03-31,,,,,Buy,
AMP,2026-03-31,,,,,,Buy
APD,2026-03-31,,,Sell,,,
APTV,2026-03-31,,Buy,Buy,,,
ARE,2026-03-31,,Buy,Buy,Buy,,
AVB,2026-03-31,,,,,Buy,
AVGO,2026-03-31,Buy,,,,,
AXON,2026-03-31,,,,,,Buy
